Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
3,157,1.99,Games,"Games, Strategy",,,,,,,,,,,,,
3,13433,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
4.5,28,2.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3,17,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
2.5,11,1.99,Games,"Games, Sports, Sports, Strategy",,,,,,,,,,,,,
4.5,8,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
4,45686,0,Sports,"Sports, Strategy, Sports, Games",,,,,,,,,,,,,
2.5,1096,0,Games,"Games, Action, Strategy, Entertainment",,,,,,,,,,,,,
3,203,1.99,Games,"Games, Strategy, Card",,,,,,,,,,,,,
,,0.99,Games,"Games, Strategy, Casual",,,,,,,,,,,,,
2.5,39,0,Games,"Games, Education, Puzzle, Strategy",,,,,,,,,,,,,
2.5,2117,0,Games,"Games, Family, Strategy, Entertainment",,,,,,,,,,,,,
3.5,12215,0,Games,"Games, Strategy, Card, Entertainment",,,,,,,,,,,,,
3.5,6230,1.99,Games,"Games, Action, Strategy, Entertainment",,,,,,,,,,,,,
3.5,579,1.99,Games,"Games, Entertainment, Strategy, Action",,,,,,,,,,,,,
4,1550,4.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
4,2303,3.99,Games,"Games, Action, Strategy, Entertainment",,,,,,,,,,,,,
4,1638,0,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
4,6839,0,Games,"Games, Card, Strategy",,,,,,,,,,,,,
3,2738,0,Games,"Games, Strategy, Entertainment, Simulation",,,,,,,,,,,,,
5,5,1.99,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
4.5,227,19.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
4,184,2.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
2.5,16,1.99,Games,"Games, Action, Strategy",,,,,,,,,,,,,
4.5,368,3.99,Games,"Games, Strategy, Board, Education",,,,,,,,,,,,,
2.5,420,2.99,Games,"Games, Strategy, Casual",,,,,,,,,,,,,
3.5,24688,0,Games,"Games, Strategy, Entertainment, Simulation",,,,,,,,,,,,,
3,107,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
2.5,15,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
,,1.99,Games,"Games, Lifestyle, Strategy, Word",,,,,,,,,,,,,
3.5,187,4.99,Games,"Games, Strategy, Entertainment, Simulation",,,,,,,,,,,,,
2.5,6147,0,Games,"Games, Entertainment, Card, Strategy",,,,,,,,,,,,,
4.5,954,0.99,Games,"Games, Card, Strategy, Entertainment",,,,,,,,,,,,,
5,1229,0.99,Games,"Games, Entertainment, Card, Strategy",,,,,,,,,,,,,
3,1361,0,Games,"Games, Card, Entertainment, Strategy",,,,,,,,,,,,,
4.5,1003,1.99,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
